"county","race_ethnicity","pop"
"Santa Clara","Hispanic (any race)",399861
"Santa Clara","Multiracial (two or more of above races), Non-Hispanic",78219
"Santa Clara","Native Hawaiian or Pacific Islander, Non-Hispanic",6671
"Santa Clara","White, Non-Hispanic",579974
"Santa Cruz","American Indian or Alaska Native, Non-Hispanic",818
"Santa Cruz","Asian, Non-Hispanic",12794
"Santa Cruz","Black, Non-Hispanic",2822
"Santa Cruz","Hispanic (any race)",94327
"Santa Cruz","Multiracial (two or more of above races), Non-Hispanic",12336
"Santa Cruz","Native Hawaiian or Pacific Islander, Non-Hispanic",298
"Santa Cruz","White, Non-Hispanic",139706
"Shasta","American Indian or Alaska Native, Non-Hispanic",3852
"Shasta","Asian, Non-Hispanic",5890
"Shasta","Black, Non-Hispanic",1881
"Shasta","Hispanic (any race)",28647
"Shasta","Multiracial (two or more of above races), Non-Hispanic",11840
"Shasta","Native Hawaiian or Pacific Islander, Non-Hispanic",340
"Shasta","White, Non-Hispanic",126508
"Sierra","American Indian or Alaska Native, Non-Hispanic",18
"Sierra","Asian, Non-Hispanic",10
"Sierra","Black, Non-Hispanic",11
"Sierra","Hispanic (any race)",495
"Sierra","Multiracial (two or more of above races), Non-Hispanic",183
"Sierra","Native Hawaiian or Pacific Islander, Non-Hispanic",1
"Sierra","White, Non-Hispanic",2434
"Siskiyou","American Indian or Alaska Native, Non-Hispanic",1628
"Siskiyou","Asian, Non-Hispanic",890
"Siskiyou","Black, Non-Hispanic",486
"Siskiyou","Hispanic (any race)",7676
"Siskiyou","Multiracial (two or more of above races), Non-Hispanic",2910
"Siskiyou","Native Hawaiian or Pacific Islander, Non-Hispanic",37
"Siskiyou","White, Non-Hispanic",29334
"Solano","American Indian or Alaska Native, Non-Hispanic",1674
"Solano","Asian, Non-Hispanic",70519
"Solano","Black, Non-Hispanic",61101
"Solano","Hispanic (any race)",126522
"Solano","Multiracial (two or more of above races), Non-Hispanic",30448
"Solano","Native Hawaiian or Pacific Islander, Non-Hispanic",4172
"Solano","White, Non-Hispanic",152309
"Sonoma","American Indian or Alaska Native, Non-Hispanic",3080
"Sonoma","Asian, Non-Hispanic",23151
"Sonoma","Black, Non-Hispanic",8110
"Sonoma","Hispanic (any race)",136305
"Sonoma","Multiracial (two or more of above races), Non-Hispanic",24595
"Sonoma","Native Hawaiian or Pacific Islander, Non-Hispanic",2060
"Sonoma","White, Non-Hispanic",282525
"Stanislaus","American Indian or Alaska Native, Non-Hispanic",2609
"Stanislaus","Asian, Non-Hispanic",34221
"Stanislaus","Black, Non-Hispanic",14391
"Stanislaus","Hispanic (any race)",273663
"Stanislaus","Multiracial (two or more of above races), Non-Hispanic",21209
"Stanislaus","Native Hawaiian or Pacific Islander, Non-Hispanic",4108
"Stanislaus","White, Non-Hispanic",195503
"Sutter","American Indian or Alaska Native, Non-Hispanic",822
"Sutter","Asian, Non-Hispanic",17208
"Sutter","Black, Non-Hispanic",1691
"Sutter","Hispanic (any race)",37310
"Sutter","Multiracial (two or more of above races), Non-Hispanic",4105
"Sutter","Native Hawaiian or Pacific Islander, Non-Hispanic",316
"Sutter","White, Non-Hispanic",36699
"Tehama","American Indian or Alaska Native, Non-Hispanic",1234
"Tehama","Asian, Non-Hispanic",923
"Tehama","Black, Non-Hispanic",403
"Tehama","Hispanic (any race)",21091
"Tehama","Multiracial (two or more of above races), Non-Hispanic",3266
"Tehama","Native Hawaiian or Pacific Islander, Non-Hispanic",103
"Tehama","White, Non-Hispanic",37657
"Trinity","American Indian or Alaska Native, Non-Hispanic",409
"Trinity","Asian, Non-Hispanic",2219
"Trinity","Black, Non-Hispanic",72
"Trinity","Hispanic (any race)",1278
"Trinity","Multiracial (two or more of above races), Non-Hispanic",1000
"Trinity","Native Hawaiian or Pacific Islander, Non-Hispanic",28
"Trinity","White, Non-Hispanic",10864
"Tulare","American Indian or Alaska Native, Non-Hispanic",3075
"Tulare","Asian, Non-Hispanic",14830
"Tulare","Black, Non-Hispanic",5450
"Tulare","Hispanic (any race)",331992
"Tulare","Multiracial (two or more of above races), Non-Hispanic",9053
"Tulare","Native Hawaiian or Pacific Islander, Non-Hispanic",493
"Tulare","White, Non-Hispanic",109899
"Tuolumne","American Indian or Alaska Native, Non-Hispanic",800
"Tuolumne","Asian, Non-Hispanic",913
"Tuolumne","Black, Non-Hispanic",817
"Tuolumne","Hispanic (any race)",9193
"Tuolumne","Multiracial (two or more of above races), Non-Hispanic",3125
"Tuolumne","Native Hawaiian or Pacific Islander, Non-Hispanic",119
"Tuolumne","White, Non-Hispanic",38420
"Ventura","American Indian or Alaska Native, Non-Hispanic",2049
"Ventura","Asian, Non-Hispanic",65502
"Ventura","Black, Non-Hispanic",15560
"Ventura","Hispanic (any race)",352151
"Ventura","Multiracial (two or more of above races), Non-Hispanic",32185
"Ventura","Native Hawaiian or Pacific Islander, Non-Hispanic",1537
"Ventura","White, Non-Hispanic",356953
"Yolo","American Indian or Alaska Native, Non-Hispanic",868
"Yolo","Asian, Non-Hispanic",32574
"Yolo","Black, Non-Hispanic",6318
"Yolo","Hispanic (any race)",76907
"Yolo","Multiracial (two or more of above races), Non-Hispanic",11205
"Yolo","Native Hawaiian or Pacific Islander, Non-Hispanic",1151
"Yolo","White, Non-Hispanic",91358
"Yuba","American Indian or Alaska Native, Non-Hispanic",897
"Yuba","Asian, Non-Hispanic",5182
"Yuba","Black, Non-Hispanic",2524
"Yuba","Hispanic (any race)",31822
"Yuba","Multiracial (two or more of above races), Non-Hispanic",5410
"Yuba","Native Hawaiian or Pacific Islander, Non-Hispanic",347
"Yuba","White, Non-Hispanic",37115
